group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Descending Triangle,2,0.01,,154,-0.0022672265738572016,0.6753246753246753,0.5978820258623505,-0.001455667255808231,0.6519480519480519,-0.0008115593180489711,-0.004607906464798731,0.002921650266149844,0.74,0.7367185853617405,0.6428571428571429,,1.4545454545454546
Double Bottom,2,0.01,,407,0.00015213742183694455,0.7051597051597052,0.6591080167220525,-0.00043867418454751205,0.6724815724815725,0.0005908116063844565,-0.0011990639303095891,0.0022250685093930314,0.22,1.0230288647326604,0.6683046683046683,,1.4987714987714988
Double Top,2,0.01,,450,0.0008823721719188512,0.7311111111111112,0.6883152993698761,-0.0004364980503953804,0.6771111111111111,0.001318870222314232,-0.000263244263956758,0.002706798706323434,0.058,1.1471643256333781,0.7066666666666667,,1.4155555555555555
Falling Wedge,2,0.01,,335,0.0007583537166554205,0.6835820895522388,0.6319366807619288,-0.00025337712434299944,0.6788059701492537,0.00101173084099842,-0.0005837596388696393,0.0026274247875646656,0.138,1.1312620732692593,0.6537313432835821,,1.492537313432836
Head and Shoulders,2,0.01,,173,-0.0005545681268929901,0.6878612716763006,0.6153635908314615,-0.0006915027177586035,0.6820809248554913,0.0001369345908656132,-0.002606028439640283,0.0027360161777474157,0.49,0.9209493790470674,0.6473988439306358,,1.4855491329479769
Inverse Head and Shoulders,2,0.01,,128,6.598822119791465e-05,0.6953125,0.6108473759049617,0.0006637925160531177,0.6828125,-0.0005978042948552034,-0.004047747104462567,0.0028349481525420705,0.688,1.0097199074658263,0.671875,,1.4609375
Inverted Cup and Handle,2,0.01,,52,-0.0012457176811217214,0.6923076923076923,0.5573015506778113,-0.0012262219524028213,0.6596153846153846,-1.9495728718900427e-05,-0.0058070620168941675,0.005089461510979994,0.506,0.8435080944034594,0.6923076923076923,,1.3846153846153846
Rectangle,2,0.01,,81,0.0007022039233703002,0.7407407407407407,0.63595445945254,0.00026398047797255176,0.671604938271605,0.00043822344539774745,-0.003582490632736966,0.004312900188699425,0.38,1.116644820309114,0.691358024691358,,1.4814814814814814
Rising Wedge,2,0.01,,488,-0.0008548810146403843,0.6639344262295082,0.6208880549817201,-0.0014580305605758012,0.6327868852459017,0.0006031495459354166,-0.001162812473483605,0.0023184154833753943,0.218,0.883007101156852,0.6229508196721312,,1.5348360655737705
Symmetrical Triangle,2,0.01,,360,7.90359730014079e-05,0.6833333333333333,0.6335595980515513,-0.0007414065866201222,0.6577777777777778,0.0008204425596215298,-0.0010598039798215666,0.002553623357791601,0.14,1.012700135900472,0.625,,1.525
Ascending Triangle,2,0.01,0.02,244,0.0005532852321216187,0.6434426229508197,0.5815445297741698,-0.0007968977622878192,0.6102459016393442,0.0013501829944094384,-0.0003506158372811834,0.002890185260552279,0.06,1.098741071646836,0.610655737704918,0.22950819672131148,1.360655737704918
Bear Flag,2,0.01,0.02,461,-0.0035255882519331407,0.5531453362255966,0.5075073309956188,-0.0027362056651790965,0.5707158351409979,-0.0007893825867540444,-0.0022645659419123984,0.00046208349527138533,0.87,0.5942804678822495,0.5249457700650759,0.39045553145336226,1.2407809110629067
Bull Flag,2,0.01,0.02,657,-0.0012373133080393543,0.6210045662100456,0.583305525209802,-0.001696572952574515,0.5946727549467276,0.00045925964453516054,-0.0007144158163772913,0.0015846951196804874,0.182,0.8230100062001072,0.5844748858447488,0.3150684931506849,1.2922374429223744
Cup and Handle,2,0.01,0.02,88,0.0012271690042697696,0.6931818181818182,0.5904365208409637,-0.0007353047510040759,0.6193181818181818,0.0019624737552738454,-0.0007269788110203059,0.004697340359394432,0.088,1.2339874636083599,0.6590909090909091,0.20454545454545456,1.3409090909090908
Descending Triangle,2,0.01,0.02,154,-0.0023403289308776176,0.5844155844155844,0.5054496246857966,-0.0022166649142361067,0.5681818181818182,-0.00012366401664151073,-0.0025156301876476466,0.0022643525252998907,0.56,0.6997516505059609,0.551948051948052,0.34415584415584416,1.2987012987012987
Double Bottom,2,0.01,0.02,407,-0.0014450709823659023,0.597051597051597,0.5487058231995074,-0.001368550547880732,0.5948402948402949,-7.652043448517014e-05,-0.0015159008453351718,0.0012007111816901026,0.536,0.7992340084317175,0.5651105651105651,0.3046683046683047,1.3194103194103195
Double Top,2,0.01,0.02,450,-0.0030848056317498954,0.5511111111111111,0.504915700777781,-0.0019631430858390924,0.5791111111111111,-0.001121662545910803,-0.002468725425260892,0.00019264590236255344,0.962,0.6276441215848012,0.54,0.36444444444444446,1.2644444444444445
Falling Wedge,2,0.01,0.02,335,-0.0008738764687971561,0.6059701492537314,0.552725559845299,-0.0015362416489185654,0.5940298507462687,0.0006623651801214096,-0.0007973674091942427,0.0022981216316780477,0.182,0.8682640731501604,0.5791044776119403,0.2746268656716418,1.355223880597015
Head and Shoulders,2,0.01,0.02,173,-0.0021486970652056926,0.5838150289017341,0.5093199535035847,-0.0018713953059149484,0.5855491329479768,-0.0002773017592907446,-0.0024797788336518353,0.0017775383391207254,0.616,0.7192778331089236,0.5491329479768786,0.3236994219653179,1.329479768786127
Inverse Head and Shoulders,2,0.01,0.02,128,-0.0005226638768234054,0.6015625,0.5149808076118778,-0.00042350075735882246,0.6140625,-9.916311946458263e-05,-0.0024065837471879317,0.002241539203293279,0.554,0.9156433525983289,0.578125,0.2734375,1.3203125
Inverted Cup and Handle,2,0.01,0.02,52,-0.0025252408470876732,0.5769230769230769,0.4419408497943149,-0.0016702437379877886,0.5846153846153846,-0.0008549971090998858,-0.004690541850808019,0.003050535716581336,0.666,0.6899124548859639,0.5769230769230769,0.34615384615384615,1.2115384615384615
